,ID,mangaid,subfind_id,ifusize,redshift,lambda_r,star_axis,gas_axis,pa_offset,stel_qual,stel_feature,halpha_qual,halpha_feature
2561,TNG100-687315-IFU-127,1-93310,687315,127,0.015508618796803996,0.7807005728724075,1.0,343.0,18.0,0,0,1,0
2562,TNG100-394986-IFU-127,1-134599,394986,127,0.11142790192911024,0.6251548177771451,278.0,276.0,2.0,2,0,2,0
2563,TNG100-114415-IFU-127,1-134597,114415,127,0.01852332599113605,0.7350122631670419,335.5,,,2,0,0,0
2564,TNG100-450493-IFU-19,1-209729,450493,19,0.06884716133888877,0.7248030507401618,263.0,262.0,1.0,2,0,2,0
2565,TNG100-270093-IFU-37,1-134562,270093,37,0.0337330299794845,0.2974371442676237,181.0,,,0,0,0,0
2566,TNG100-575920-IFU-37,1-210231,575920,37,0.03700917567467461,0.5557630193727452,24.0,58.5,34.5,2,0,2,0
2567,TNG100-298213-IFU-37,1-134248,298213,37,0.03513336490132389,0.5043028059312309,145.5,146.0,0.5,2,0,2,0
2568,TNG100-281705-IFU-127,1-134239,281705,127,0.03790358718897378,0.8178677715753327,63.5,83.0,19.5,1,0,1,0
2569,TNG100-536164-IFU-127,1-134634,536164,127,0.03803579102517439,0.3670601751765805,283.5,347.0,63.5,0,0,1,0
2570,TNG100-600897-IFU-127,1-209712,600897,127,0.038765080453805806,0.3421749877098005,89.5,107.0,17.5,0,0,1,0
2571,TNG100-619600-IFU-127,1-134614,619600,127,0.03557237808105263,0.6718613148327337,237.5,226.0,11.5,1,0,1,0
2572,TNG100-301142-IFU-19,1-134293,301142,19,0.037226796747938086,0.2474699167518392,284.0,,,2,0,0,0
2573,TNG100-31432-IFU-37,1-93305,31432,37,0.035813186016723966,0.6376746746590684,158.5,172.5,14.0,2,0,2,0
2574,TNG100-625403-IFU-37,1-134209,625403,37,0.03459869724637301,0.5649721714330429,142.5,293.0,150.5,0,0,0,0
2575,TNG100-532983-IFU-37,1-210019,532983,37,0.03982545965980072,0.5831897030051405,158.5,152.5,6.0,2,0,2,0
2576,TNG100-411321-IFU-61,1-210962,411321,61,0.09020978900663497,0.4837146146351767,323.5,38.0,74.5,1,0,2,0
2577,TNG100-243190-IFU-61,1-211082,243190,61,0.09396770193627507,0.6457212497166095,41.0,41.0,0.0,1,0,1,0
2578,TNG100-666986-IFU-61,1-135054,666986,61,0.03622870933134975,0.829741217445604,76.0,119.5,43.5,1,0,1,0
2579,TNG100-641888-IFU-91,1-211063,641888,91,0.03586459408786531,0.7909989796895178,159.0,153.5,5.5,2,0,2,0
2580,TNG100-320741-IFU-127,1-135468,320741,127,0.03756861142153173,0.7597460373198494,273.0,291.5,18.5,2,0,2,0
2581,TNG100-570434-IFU-127,1-594446,570434,127,0.03788938008890274,0.7592571416651184,259.0,263.0,4.0,2,0,2,0
2582,TNG100-45-IFU-37,1-210748,45,37,0.031221592530788295,0.4861482506732031,313.0,,,2,0,0,0
2583,TNG100-439392-IFU-37,1-210989,439392,37,0.05331963248791315,0.5271391195064558,326.5,328.5,2.0,2,0,2,0
2584,TNG100-497176-IFU-61,1-210961,497176,61,0.034983599270801705,0.636535635016224,314.0,311.5,2.5,2,0,2,0
2585,TNG100-629881-IFU-61,1-210802,629881,61,0.032765092834729934,0.7209330135257718,292.0,316.0,24.0,1,0,1,0
2586,TNG100-131056-IFU-91,1-211311,131056,91,0.021764864516228475,0.6512644489202527,160.0,168.0,8.0,2,0,2,0
2587,TNG100-662621-IFU-127,1-594483,662621,127,0.01957562358990193,0.7723562630726085,101.0,108.0,7.0,2,0,2,0
2588,TNG100-586487-IFU-127,1-211239,586487,127,0.018576761902549883,0.8580744002252845,223.0,221.0,2.0,2,0,2,0
2589,TNG100-482869-IFU-127,1-211103,482869,127,0.03571682749170127,0.3220578716986649,195.0,191.5,3.5,1,0,0,3
2590,TNG100-74-IFU-127,1-135516,74,127,0.05343537058060407,0.4252396203897421,164.0,,,1,0,0,0
2591,TNG100-255621-IFU-19,1-135530,255621,19,0.018205104608989338,0.12938193775338874,168.5,144.0,24.5,1,0,1,0
2592,TNG100-486782-IFU-37,1-569130,486782,37,0.01724098446820681,0.2997471473262741,18.5,307.5,71.0,0,0,1,0
2593,TNG100-684507-IFU-37,1-247456,684507,37,0.017994808183239043,0.6522918396187949,316.0,340.0,24.0,1,0,1,0
2594,TNG100-343992-IFU-37,1-247858,343992,37,0.036794271831306326,0.7093511278048943,130.0,120.0,10.0,2,0,2,0
2595,TNG100-596385-IFU-61,1-247417,596385,61,0.018542964254812163,0.8430111453146995,231.5,266.0,34.5,1,0,1,0
2596,TNG100-714600-IFU-61,1-247382,714600,61,0.016684259620860068,0.7246928156407362,353.5,346.5,7.0,2,0,2,0
2597,TNG100-490921-IFU-61,1-247449,490921,61,0.03657999713488395,0.22592989727318435,203.0,77.0,126.0,1,0,1,0
2598,TNG100-125032-IFU-61,1-247373,125032,61,0.033321024196027414,0.4630193432504982,261.0,271.0,10.0,2,0,2,0
2599,TNG100-642084-IFU-91,1-247424,642084,91,0.01832465893137101,0.7864683973005052,37.5,35.5,2.0,2,0,2,0
2600,TNG100-456725-IFU-127,1-576431,456725,127,0.09191815432095818,0.7103416297215064,354.5,356.0,1.5,2,0,2,0
2601,TNG100-379541-IFU-127,1-247628,379541,127,0.03200592777520502,0.07808876204235446,139.5,97.5,42.0,0,0,0,0
2602,TNG100-656011-IFU-127,1-247845,656011,127,0.0346236453751396,0.6295732478065921,210.5,228.5,18.0,1,0,1,0
2603,TNG100-324585-IFU-19,1-198859,324585,19,0.031072850337897036,0.18217452447014806,207.5,,,0,0,0,0
2604,TNG100-616940-IFU-37,1-247395,616940,37,0.02412230144955986,0.5643964790597069,106.5,117.5,11.0,2,0,2,0
2605,TNG100-593509-IFU-37,1-247817,593509,37,0.02046091223324276,0.4213417081176409,347.5,308.0,39.5,1,0,1,0
2606,TNG100-287336-IFU-37,1-247430,287336,37,0.06483568426902127,0.07638089539760093,226.5,141.0,85.5,1,3,0,0
2607,TNG100-524997-IFU-61,1-247882,524997,61,0.038977943210754235,0.8288634466257452,229.5,218.0,11.5,2,0,2,0
2608,TNG100-669026-IFU-91,1-321739,669026,91,0.0198746034092472,0.6909129226078115,26.0,13.5,12.5,1,0,1,0
2609,TNG100-462012-IFU-91,1-322045,462012,91,0.01926015204775631,0.6520615986719562,171.5,178.5,7.0,2,0,2,0
2610,TNG100-456538-IFU-19,1-322028,456538,19,0.10750406060520876,0.7022728581031789,321.0,316.5,4.5,2,0,2,0
2611,TNG100-475603-IFU-19,1-322035,475603,19,0.05652386206580751,0.15593586035884802,178.0,292.5,114.5,1,0,1,0
2612,TNG100-276222-IFU-37,1-322048,276222,37,0.06897262314642341,0.5287752414402618,98.0,,,1,0,0,0
2613,TNG100-497926-IFU-37,1-322074,497926,37,0.06031544870655985,0.6686289541610366,109.0,101.0,8.0,2,0,2,0
2614,TNG100-382684-IFU-61,1-321967,382684,61,0.0698789889571851,0.191224846505156,267.5,120.5,147.0,1,0,0,0
2615,TNG100-460117-IFU-61,1-321963,460117,61,0.06288747570596202,0.1433691249941665,343.5,333.5,10.0,1,0,1,0
2616,TNG100-387590-IFU-61,1-321979,387590,61,0.07714914336508033,0.5604189223352579,33.0,199.5,166.5,1,0,0,3
2617,TNG100-450767-IFU-91,1-322087,450767,91,0.11300357014382999,0.6499902744597608,140.5,136.0,4.5,2,0,2,0
2618,TNG100-246245-IFU-19,1-322259,246245,19,0.02825732637681237,0.10764745833587416,264.0,207.5,56.5,0,0,1,0
2619,TNG100-381608-IFU-37,1-321961,381608,37,0.08397357625218663,0.061956160334103776,343.5,254.5,89.0,1,0,2,0
2620,TNG100-621820-IFU-37,1-322096,621820,37,0.0255525357578759,0.7432503100679521,193.0,182.0,11.0,2,0,2,0
2621,TNG100-345256-IFU-37,1-198600,345256,37,0.03707192373381709,0.4607123121110566,351.5,29.5,38.0,1,0,1,0
2622,TNG100-508955-IFU-61,1-322020,508955,61,0.03361331162751854,0.7471197716999778,92.5,86.0,6.5,2,0,2,0
2623,TNG100-510299-IFU-127,1-322113,510299,127,0.03227544655350426,0.8639087267124533,227.0,228.0,1.0,2,0,2,0
2624,TNG100-454729-IFU-127,1-90986,454729,127,0.08575006790733501,0.6027773593806612,110.0,122.0,12.0,1,0,1,0
2625,TNG100-563892-IFU-37,1-593985,563892,37,0.029145636300422342,0.4170785358935456,8.0,8.0,0.0,2,0,2,0
2626,TNG100-88682-IFU-37,1-90244,88682,37,0.0323885525172514,0.7306969181771209,29.5,,,1,0,0,0
2627,TNG100-489953-IFU-37,1-90242,489953,37,0.08071260546715635,0.7247640592396005,359.0,357.0,2.0,2,0,2,0
2628,TNG100-354483-IFU-61,1-90685,354483,61,0.07701875000801357,0.11583525945473483,12.0,344.5,27.5,1,0,1,0
2629,TNG100-361755-IFU-61,1-90984,361755,61,0.05901161807693984,0.2440278751066465,28.0,33.5,5.5,1,0,1,0
2630,TNG100-158851-IFU-61,1-542308,158851,61,0.05456148490853743,0.7621654539066582,36.5,46.5,10.0,1,0,1,0
